,time,frame,n_attentive_pp_at_time,IDs_attention,bb_attention
0,0:00:00:480000,12,0,,
1,0:00:00:520000,13,0,,
2,0:00:00:560000,14,0,,
3,0:00:00:600000,15,0,,
4,0:00:00:640000,16,0,,
5,0:00:00:680000,17,0,,
6,0:00:00:720000,18,0,,
7,0:00:00:760000,19,0,,
8,0:00:00:800000,20,0,,
9,0:00:00:840000,21,0,,
10,0:00:00:880000,22,0,,
11,0:00:00:920000,23,0,,
12,0:00:00:960000,24,1,[1],"[11, 94, 62, 62]"
13,0:00:01,25,1,[1],"[12, 94, 62, 62]"
14,0:00:01:040000,26,0,,
15,0:00:01:080000,27,1,[1],"[18, 92, 63, 62]"
16,0:00:01:120000,28,1,[1],"[13, 83, 75, 74]"
17,0:00:01:160000,29,1,[1],"[24, 92, 63, 62]"
18,0:00:01:200000,30,1,[1],"[25, 89, 63, 62]"
19,0:00:01:240000,31,0,,
20,0:00:01:280000,32,0,,
21,0:00:01:320000,33,1,[1],"[32, 84, 62, 62]"
22,0:00:01:360000,34,0,,
23,0:00:01:400000,35,0,,
24,0:00:01:440000,36,0,,
25,0:00:01:480000,37,0,,
26,0:00:01:520000,38,0,,
27,0:00:01:560000,39,0,,
28,0:00:01:600000,40,1,[1],"[46, 75, 75, 75]"
29,0:00:01:640000,41,0,,
30,0:00:01:680000,42,0,,
31,0:00:01:720000,43,0,,
32,0:00:01:760000,44,0,,
33,0:00:01:800000,45,0,,
34,0:00:01:840000,46,0,,
35,0:00:01:880000,47,0,,
36,0:00:01:920000,48,0,,
37,0:00:01:960000,49,0,,
38,0:00:02,50,0,,
39,0:00:02:040000,51,0,,
40,0:00:02:080000,52,1,[2],"[159, 245, 62, 62]"
41,0:00:02:120000,53,0,,
42,0:00:02:160000,54,1,[2],"[165, 244, 62, 62]"
43,0:00:02:200000,55,1,[2],"[171, 246, 62, 62]"
44,0:00:02:240000,56,1,[2],"[171, 248, 62, 62]"
45,0:00:02:280000,57,2,[1 2],"[137, 85, 63, 62],[173, 245, 62, 62]"
46,0:00:02:320000,58,2,[1 2],"[138, 87, 62, 62],[174, 250, 62, 62]"
47,0:00:02:360000,59,2,[1 2],"[141, 84, 62, 62],[171, 248, 74, 75]"
48,0:00:02:400000,60,2,[1 2],"[146, 88, 62, 62],[175, 253, 62, 62]"
49,0:00:02:440000,61,2,[1 2],"[146, 88, 62, 62],[179, 253, 62, 62]"
50,0:00:02:480000,62,2,[1 2],"[144, 87, 62, 62],[172, 250, 75, 75]"
51,0:00:02:520000,63,2,[1 2],"[147, 82, 62, 62],[179, 251, 62, 62]"
52,0:00:02:560000,64,2,[1 2],"[148, 83, 62, 62],[182, 251, 62, 62]"
53,0:00:02:600000,65,2,[1 2],"[148, 84, 62, 62],[184, 251, 62, 62]"
54,0:00:02:640000,66,2,[1 2],"[150, 85, 62, 62],[179, 244, 62, 62]"
55,0:00:02:680000,67,2,[1 2],"[149, 87, 62, 62],[180, 244, 62, 62]"
56,0:00:02:720000,68,2,[1 2],"[149, 85, 62, 62],[180, 244, 62, 62]"
57,0:00:02:760000,69,2,[1 2],"[150, 82, 62, 62],[179, 245, 62, 62]"
58,0:00:02:800000,70,2,[1 2],"[147, 87, 62, 62],[178, 251, 62, 62]"
59,0:00:02:840000,71,2,[1 2],"[147, 86, 62, 62],[175, 250, 62, 62]"
60,0:00:02:880000,72,2,[1 2],"[153, 86, 62, 62],[171, 244, 62, 62]"
61,0:00:02:920000,73,2,[1 2],"[152, 85, 62, 62],[165, 244, 62, 62]"
62,0:00:02:960000,74,2,[1 2],"[152, 87, 62, 62],[162, 245, 62, 62]"
63,0:00:03,75,2,[1 2],"[157, 89, 52, 52],[164, 247, 62, 62]"
64,0:00:03:040000,76,2,[1 2],"[153, 85, 62, 62],[160, 246, 62, 62]"
65,0:00:03:080000,77,2,[1 2],"[153, 86, 62, 62],[157, 246, 62, 62]"
66,0:00:03:120000,78,2,[1 2],"[156, 86, 63, 62],[161, 249, 62, 62]"
67,0:00:03:160000,79,2,[1 2],"[158, 87, 63, 62],[156, 242, 62, 62]"
68,0:00:03:200000,80,2,[1 2],"[154, 87, 63, 62],[153, 243, 62, 62]"
69,0:00:03:240000,81,2,[1 2],"[154, 80, 63, 62],[156, 242, 62, 62]"
70,0:00:03:280000,82,2,[1 2],"[155, 80, 62, 62],[154, 242, 62, 62]"
71,0:00:03:320000,83,2,[1 2],"[155, 86, 62, 62],[153, 243, 62, 62]"
