,time,frame,n_pp_at_time,IDs_people,bb_people
0,0:00:00:400000,10,0,,
1,0:00:00:440000,11,0,,
2,0:00:00:480000,12,1,[1],"[0, 148, 55, 472]"
3,0:00:00:520000,13,1,[1],"[0, 95, 60, 476]"
4,0:00:00:560000,14,1,[1],"[0, 75, 66, 479]"
5,0:00:00:600000,15,1,[1],"[0, 66, 74, 479]"
6,0:00:00:640000,16,1,[1],"[0, 62, 76, 477]"
7,0:00:00:680000,17,1,[1],"[0, 61, 77, 475]"
8,0:00:00:720000,18,1,[1],"[0, 59, 86, 475]"
9,0:00:00:760000,19,1,[1],"[0, 59, 93, 473]"
10,0:00:00:800000,20,1,[1],"[0, 61, 98, 473]"
11,0:00:00:840000,21,1,[1],"[0, 63, 102, 474]"
12,0:00:00:880000,22,1,[1],"[0, 63, 105, 476]"
13,0:00:00:920000,23,1,[1],"[0, 61, 114, 399]"
14,0:00:00:960000,24,1,[1],"[0, 62, 109, 363]"
15,0:00:01,25,2,[1 2],"[1, 62, 104, 348],[1, 203, 138, 476]"
16,0:00:01:040000,26,2,[1 2],"[1, 61, 105, 340],[1, 202, 142, 475]"
17,0:00:01:080000,27,2,[1 2],"[1, 60, 105, 341],[0, 203, 153, 475]"
18,0:00:01:120000,28,2,[1 2],"[0, 61, 109, 327],[0, 203, 158, 474]"
19,0:00:01:160000,29,2,[1 2],"[0, 60, 113, 324],[0, 204, 164, 474]"
20,0:00:01:200000,30,2,[1 2],"[1, 57, 116, 334],[0, 204, 170, 474]"
21,0:00:01:240000,31,2,[1 2],"[3, 57, 118, 372],[1, 206, 172, 473]"
22,0:00:01:280000,32,2,[1 2],"[4, 54, 122, 421],[2, 208, 170, 473]"
23,0:00:01:320000,33,2,[1 2],"[1, 52, 127, 440],[3, 210, 170, 473]"
24,0:00:01:360000,34,2,[1 2],"[2, 47, 130, 467],[8, 212, 169, 473]"
25,0:00:01:400000,35,2,[1 2],"[1, 45, 133, 475],[13, 213, 169, 474]"
26,0:00:01:440000,36,2,[1 2],"[0, 45, 135, 477],[23, 213, 170, 476]"
27,0:00:01:480000,37,2,[1 2],"[0, 44, 137, 478],[32, 212, 176, 476]"
28,0:00:01:520000,38,2,[1 2],"[0, 45, 142, 478],[37, 211, 181, 476]"
29,0:00:01:560000,39,2,[1 2],"[0, 45, 144, 477],[40, 210, 187, 476]"
30,0:00:01:600000,40,2,[1 2],"[0, 45, 146, 477],[48, 208, 191, 476]"
31,0:00:01:640000,41,2,[1 2],"[0, 45, 146, 478],[56, 208, 195, 477]"
32,0:00:01:680000,42,2,[1 2],"[0, 45, 149, 477],[59, 207, 199, 477]"
33,0:00:01:720000,43,2,[1 2],"[0, 47, 152, 476],[65, 207, 203, 476]"
34,0:00:01:760000,44,2,[1 2],"[0, 48, 162, 475],[71, 205, 208, 475]"
35,0:00:01:800000,45,2,[1 2],"[0, 48, 164, 476],[69, 205, 213, 475]"
36,0:00:01:840000,46,2,[1 2],"[0, 49, 172, 476],[67, 205, 217, 475]"
37,0:00:01:880000,47,2,[1 2],"[0, 47, 183, 476],[66, 207, 224, 475]"
38,0:00:01:920000,48,2,[1 2],"[2, 46, 192, 477],[72, 208, 228, 475]"
39,0:00:01:960000,49,2,[1 2],"[8, 47, 202, 477],[77, 208, 233, 475]"
40,0:00:02,50,2,[1 2],"[17, 46, 208, 476],[81, 210, 237, 468]"
41,0:00:02:040000,51,2,[1 2],"[24, 43, 214, 477],[77, 210, 242, 467]"
42,0:00:02:080000,52,2,[1 2],"[27, 43, 222, 479],[79, 206, 252, 473]"
43,0:00:02:120000,53,2,[1 2],"[31, 44, 229, 479],[80, 204, 258, 476]"
44,0:00:02:160000,54,2,[1 2],"[36, 47, 236, 478],[85, 205, 281, 476]"
45,0:00:02:200000,55,2,[1 2],"[39, 49, 245, 470],[91, 207, 292, 476]"
46,0:00:02:240000,56,2,[1 2],"[39, 52, 254, 466],[91, 209, 303, 471]"
47,0:00:02:280000,57,2,[1 2],"[44, 53, 260, 462],[93, 213, 309, 469]"
48,0:00:02:320000,58,2,[1 2],"[51, 55, 268, 465],[108, 211, 314, 474]"
49,0:00:02:360000,59,2,[1 2],"[54, 52, 269, 464],[108, 210, 324, 476]"
50,0:00:02:400000,60,2,[1 2],"[66, 49, 264, 465],[116, 214, 326, 472]"
51,0:00:02:440000,61,2,[1 2],"[66, 49, 268, 468],[120, 214, 328, 472]"
52,0:00:02:480000,62,2,[1 2],"[71, 48, 268, 465],[126, 212, 327, 473]"
53,0:00:02:520000,63,2,[1 2],"[74, 50, 268, 467],[127, 212, 329, 472]"
54,0:00:02:560000,64,2,[1 2],"[75, 51, 268, 468],[130, 212, 329, 472]"
55,0:00:02:600000,65,2,[1 2],"[75, 52, 268, 468],[132, 212, 328, 472]"
56,0:00:02:640000,66,2,[1 2],"[77, 53, 268, 471],[134, 212, 326, 473]"
57,0:00:02:680000,67,2,[1 2],"[76, 55, 268, 472],[135, 212, 323, 472]"
58,0:00:02:720000,68,2,[1 2],"[76, 53, 266, 470],[135, 212, 317, 471]"
59,0:00:02:760000,69,2,[1 2],"[77, 50, 265, 469],[127, 206, 317, 474]"
60,0:00:02:800000,70,2,[1 2],"[74, 48, 267, 471],[126, 205, 312, 475]"
61,0:00:02:840000,71,2,[1 2],"[74, 47, 265, 471],[123, 204, 305, 476]"
62,0:00:02:880000,72,2,[1 2],"[73, 47, 264, 473],[119, 205, 301, 476]"
63,0:00:02:920000,73,2,[1 2],"[72, 46, 264, 471],[113, 205, 299, 477]"
64,0:00:02:960000,74,2,[1 2],"[72, 48, 261, 468],[110, 206, 296, 477]"
65,0:00:03,75,2,[1 2],"[68, 51, 263, 434],[105, 208, 294, 476]"
66,0:00:03:040000,76,2,[1 2],"[66, 53, 262, 409],[101, 207, 291, 476]"
67,0:00:03:080000,77,2,[1 2],"[66, 54, 260, 407],[98, 207, 290, 475]"
68,0:00:03:120000,78,2,[1 2],"[63, 54, 258, 411],[102, 210, 290, 471]"
69,0:00:03:160000,79,2,[1 2],"[58, 55, 257, 417],[104, 210, 289, 468]"
70,0:00:03:200000,80,2,[1 2],"[47, 55, 262, 392],[108, 211, 287, 468]"
71,0:00:03:240000,81,2,[1 2],"[47, 55, 257, 397],[104, 210, 293, 469]"
72,0:00:03:280000,82,2,[1 2],"[41, 55, 255, 443],[102, 210, 296, 470]"
73,0:00:03:320000,83,2,[1 2],"[27, 54, 260, 464],[101, 211, 298, 472]"
74,0:00:03:360000,84,2,[1 2],"[19, 54, 260, 467],[99, 209, 297, 472]"
75,0:00:03:400000,85,2,[1 2],"[17, 54, 258, 471],[92, 209, 294, 475]"
76,0:00:03:440000,86,2,[1 2],"[14, 54, 260, 470],[86, 209, 291, 474]"
77,0:00:03:480000,87,2,[1 2],"[14, 53, 260, 466],[85, 209, 286, 472]"
78,0:00:03:520000,88,2,[1 2],"[20, 53, 260, 466],[87, 208, 286, 472]"
79,0:00:03:560000,89,2,[1 2],"[29, 52, 259, 465],[89, 208, 284, 472]"
80,0:00:03:600000,90,2,[1 2],"[35, 52, 262, 468],[94, 208, 283, 475]"
81,0:00:03:640000,91,2,[1 2],"[37, 52, 263, 472],[102, 209, 284, 473]"
82,0:00:03:680000,92,2,[1 2],"[36, 51, 264, 473],[103, 208, 281, 475]"
83,0:00:03:720000,93,2,[1 2],"[34, 51, 266, 475],[105, 207, 282, 476]"
84,0:00:03:760000,94,2,[1 2],"[31, 51, 267, 474],[98, 207, 285, 475]"
85,0:00:03:800000,95,2,[1 2],"[25, 50, 270, 421],[89, 209, 283, 471]"
86,0:00:03:840000,96,2,[1 2],"[29, 49, 265, 390],[92, 210, 278, 469]"
87,0:00:03:880000,97,2,[1 2],"[34, 49, 260, 391],[88, 210, 280, 469]"
88,0:00:03:920000,98,2,[1 2],"[34, 49, 263, 382],[87, 210, 280, 469]"
89,0:00:03:960000,99,2,[1 2],"[36, 49, 262, 379],[88, 210, 280, 469]"
90,0:00:04,100,2,[1 2],"[36, 50, 260, 372],[87, 210, 281, 468]"
91,0:00:04:040000,101,2,[1 2],"[38, 50, 255, 370],[89, 210, 282, 468]"
92,0:00:04:080000,102,2,[1 2],"[39, 50, 254, 376],[93, 208, 280, 467]"
93,0:00:04:120000,103,2,[1 2],"[40, 51, 253, 384],[93, 207, 282, 467]"
94,0:00:04:160000,104,2,[1 2],"[39, 51, 252, 389],[92, 207, 283, 469]"
95,0:00:04:200000,105,2,[1 2],"[40, 52, 250, 399],[92, 207, 283, 471]"
96,0:00:04:240000,106,2,[1 2],"[38, 52, 251, 399],[92, 207, 283, 471]"
97,0:00:04:280000,107,2,[1 2],"[38, 53, 250, 398],[93, 207, 282, 471]"
