,time,frame,n_pp_at_time,n_attentive_pp_at_time,IDs_people,IDs_attention,bb_people,bb_attention,total_pp_appear_uptotime,total_attentive_pp_appear_uptotime
0,0:00:00.400000,10,0,,,,,,0,0
1,0:00:00.440000,11,0,,,,,,0,0
2,0:00:00.480000,12,1,0,[1],,"[array([  0, 148,  55, 472])]",,1,0
3,0:00:00.520000,13,1,0,[1],,"[array([  0,  95,  60, 476])]",,1,0
4,0:00:00.560000,14,1,0,[1],,"[array([  0,  75,  66, 479])]",,1,0
5,0:00:00.600000,15,1,0,[1],,"[array([  0,  66,  74, 479])]",,1,0
6,0:00:00.640000,16,1,0,[1],,"[array([  0,  62,  76, 477])]",,1,0
7,0:00:00.680000,17,1,0,[1],,"[array([  0,  61,  77, 475])]",,1,0
8,0:00:00.720000,18,1,0,[1],,"[array([  0,  59,  86, 475])]",,1,0
9,0:00:00.760000,19,1,0,[1],,"[array([  0,  59,  93, 473])]",,1,0
10,0:00:00.800000,20,1,0,[1],,"[array([  0,  61,  98, 473])]",,1,0
11,0:00:00.840000,21,1,0,[1],,"[array([  0,  63, 102, 474])]",,1,0
12,0:00:00.880000,22,1,0,[1],,"[array([  0,  63, 105, 476])]",,1,0
13,0:00:00.920000,23,1,0,[1],,"[array([  0,  61, 114, 399])]",,1,0
14,0:00:00.960000,24,1,1,[1],[1],"[array([  0,  62, 109, 363])]","[array([11, 94, 62, 62])]",1,1
15,0:00:01,25,2,0,"[1, 2]",,"[array([  1,  62, 104, 348]), array([  1, 203, 138, 476])]",,2,1
16,0:00:01.040000,26,2,0,"[1, 2]",,"[array([  1,  61, 105, 340]), array([  1, 202, 142, 475])]",,2,1
17,0:00:01.080000,27,2,0,"[1, 2]",,"[array([  1,  60, 105, 341]), array([  0, 203, 153, 475])]",,2,1
18,0:00:01.120000,28,2,1,"[1, 2]",[1],"[array([  0,  61, 109, 327]), array([  0, 203, 158, 474])]","[array([13, 83, 75, 74])]",2,1
19,0:00:01.160000,29,2,0,"[1, 2]",,"[array([  0,  60, 113, 324]), array([  0, 204, 164, 474])]",,2,1
20,0:00:01.200000,30,2,1,"[1, 2]",[1],"[array([  1,  57, 116, 334]), array([  0, 204, 170, 474])]","[array([25, 89, 63, 62])]",2,1
21,0:00:01.240000,31,2,0,"[1, 2]",,"[array([  3,  57, 118, 372]), array([  1, 206, 172, 473])]",,2,1
22,0:00:01.280000,32,2,0,"[1, 2]",,"[array([  4,  54, 122, 421]), array([  2, 208, 170, 473])]",,2,1
23,0:00:01.320000,33,2,1,"[1, 2]",[1],"[array([  1,  52, 127, 440]), array([  3, 210, 170, 473])]","[array([32, 84, 62, 62])]",2,1
24,0:00:01.360000,34,2,0,"[1, 2]",,"[array([  2,  47, 130, 467]), array([  8, 212, 169, 473])]",,2,1
25,0:00:01.400000,35,2,0,"[1, 2]",,"[array([  1,  45, 133, 475]), array([ 13, 213, 169, 474])]",,2,1
26,0:00:01.440000,36,2,0,"[1, 2]",,"[array([  0,  45, 135, 477]), array([ 23, 213, 170, 476])]",,2,1
27,0:00:01.480000,37,2,0,"[1, 2]",,"[array([  0,  44, 137, 478]), array([ 32, 212, 176, 476])]",,2,1
28,0:00:01.520000,38,2,0,"[1, 2]",,"[array([  0,  45, 142, 478]), array([ 37, 211, 181, 476])]",,2,1
29,0:00:01.560000,39,2,0,"[1, 2]",,"[array([  0,  45, 144, 477]), array([ 40, 210, 187, 476])]",,2,1
30,0:00:01.600000,40,2,1,"[1, 2]",[1],"[array([  0,  45, 146, 477]), array([ 48, 208, 191, 476])]","[array([46, 75, 75, 75])]",2,1
31,0:00:01.640000,41,2,0,"[1, 2]",,"[array([  0,  45, 146, 478]), array([ 56, 208, 195, 477])]",,2,1
32,0:00:01.680000,42,2,0,"[1, 2]",,"[array([  0,  45, 149, 477]), array([ 59, 207, 199, 477])]",,2,1
33,0:00:01.720000,43,2,0,"[1, 2]",,"[array([  0,  47, 152, 476]), array([ 65, 207, 203, 476])]",,2,1
34,0:00:01.760000,44,2,0,"[1, 2]",,"[array([  0,  48, 162, 475]), array([ 71, 205, 208, 475])]",,2,1
35,0:00:01.800000,45,2,0,"[1, 2]",,"[array([  0,  48, 164, 476]), array([ 69, 205, 213, 475])]",,2,1
36,0:00:01.840000,46,2,0,"[1, 2]",,"[array([  0,  49, 172, 476]), array([ 67, 205, 217, 475])]",,2,1
37,0:00:01.880000,47,2,0,"[1, 2]",,"[array([  0,  47, 183, 476]), array([ 66, 207, 224, 475])]",,2,1
38,0:00:01.920000,48,2,0,"[1, 2]",,"[array([  2,  46, 192, 477]), array([ 72, 208, 228, 475])]",,2,1
39,0:00:01.960000,49,2,0,"[1, 2]",,"[array([  8,  47, 202, 477]), array([ 77, 208, 233, 475])]",,2,1
40,0:00:02,50,2,0,"[1, 2]",,"[array([ 17,  46, 208, 476]), array([ 81, 210, 237, 468])]",,2,1
41,0:00:02.040000,51,2,0,"[1, 2]",,"[array([ 24,  43, 214, 477]), array([ 77, 210, 242, 467])]",,2,1
42,0:00:02.080000,52,2,1,"[1, 2]",[2],"[array([ 27,  43, 222, 479]), array([ 79, 206, 252, 473])]","[array([159, 245,  62,  62])]",2,2
43,0:00:02.120000,53,2,0,"[1, 2]",,"[array([ 31,  44, 229, 479]), array([ 80, 204, 258, 476])]",,2,2
44,0:00:02.160000,54,2,1,"[1, 2]",[2],"[array([ 36,  47, 236, 478]), array([ 85, 205, 281, 476])]","[array([165, 244,  62,  62])]",2,2
45,0:00:02.200000,55,2,1,"[1, 2]",[2],"[array([ 39,  49, 245, 470]), array([ 91, 207, 292, 476])]","[array([171, 246,  62,  62])]",2,2
46,0:00:02.240000,56,2,1,"[1, 2]",[2],"[array([ 39,  52, 254, 466]), array([ 91, 209, 303, 471])]","[array([171, 248,  62,  62])]",2,2
47,0:00:02.280000,57,2,2,"[1, 2]","[1, 2]","[array([ 44,  53, 260, 462]), array([ 93, 213, 309, 469])]","[array([137,  85,  63,  62]), array([173, 245,  62,  62])]",2,2
48,0:00:02.320000,58,2,2,"[1, 2]","[1, 2]","[array([ 51,  55, 268, 465]), array([108, 211, 314, 474])]","[array([138,  87,  62,  62]), array([174, 250,  62,  62])]",2,2
49,0:00:02.360000,59,2,2,"[1, 2]","[1, 2]","[array([ 54,  52, 269, 464]), array([108, 210, 324, 476])]","[array([141,  84,  62,  62]), array([171, 248,  74,  75])]",2,2
50,0:00:02.400000,60,2,2,"[1, 2]","[1, 2]","[array([ 66,  49, 264, 465]), array([116, 214, 326, 472])]","[array([146,  88,  62,  62]), array([175, 253,  62,  62])]",2,2
51,0:00:02.440000,61,2,2,"[1, 2]","[1, 2]","[array([ 66,  49, 268, 468]), array([120, 214, 328, 472])]","[array([146,  88,  62,  62]), array([179, 253,  62,  62])]",2,2
52,0:00:02.480000,62,2,2,"[1, 2]","[1, 2]","[array([ 71,  48, 268, 465]), array([126, 212, 327, 473])]","[array([144,  87,  62,  62]), array([172, 250,  75,  75])]",2,2
53,0:00:02.520000,63,2,2,"[1, 2]","[1, 2]","[array([ 74,  50, 268, 467]), array([127, 212, 329, 472])]","[array([147,  82,  62,  62]), array([179, 251,  62,  62])]",2,2
54,0:00:02.560000,64,2,2,"[1, 2]","[1, 2]","[array([ 75,  51, 268, 468]), array([130, 212, 329, 472])]","[array([148,  83,  62,  62]), array([182, 251,  62,  62])]",2,2
55,0:00:02.600000,65,2,2,"[1, 2]","[1, 2]","[array([ 75,  52, 268, 468]), array([132, 212, 328, 472])]","[array([148,  84,  62,  62]), array([184, 251,  62,  62])]",2,2
56,0:00:02.640000,66,2,2,"[1, 2]","[1, 2]","[array([ 77,  53, 268, 471]), array([134, 212, 326, 473])]","[array([150,  85,  62,  62]), array([179, 244,  62,  62])]",2,2
57,0:00:02.680000,67,2,2,"[1, 2]","[1, 2]","[array([ 76,  55, 268, 472]), array([135, 212, 323, 472])]","[array([149,  87,  62,  62]), array([180, 244,  62,  62])]",2,2
58,0:00:02.720000,68,2,2,"[1, 2]","[1, 2]","[array([ 76,  53, 266, 470]), array([135, 212, 317, 471])]","[array([149,  85,  62,  62]), array([180, 244,  62,  62])]",2,2
59,0:00:02.760000,69,2,2,"[1, 2]","[1, 2]","[array([ 77,  50, 265, 469]), array([127, 206, 317, 474])]","[array([150,  82,  62,  62]), array([179, 245,  62,  62])]",2,2
60,0:00:02.800000,70,2,2,"[1, 2]","[1, 2]","[array([ 74,  48, 267, 471]), array([126, 205, 312, 475])]","[array([147,  87,  62,  62]), array([178, 251,  62,  62])]",2,2
61,0:00:02.840000,71,2,2,"[1, 2]","[1, 2]","[array([ 74,  47, 265, 471]), array([123, 204, 305, 476])]","[array([147,  86,  62,  62]), array([175, 250,  62,  62])]",2,2
62,0:00:02.880000,72,2,2,"[1, 2]","[1, 2]","[array([ 73,  47, 264, 473]), array([119, 205, 301, 476])]","[array([153,  86,  62,  62]), array([171, 244,  62,  62])]",2,2
63,0:00:02.920000,73,2,2,"[1, 2]","[1, 2]","[array([ 72,  46, 264, 471]), array([113, 205, 299, 477])]","[array([152,  85,  62,  62]), array([165, 244,  62,  62])]",2,2
64,0:00:02.960000,74,2,2,"[1, 2]","[1, 2]","[array([ 72,  48, 261, 468]), array([110, 206, 296, 477])]","[array([152,  87,  62,  62]), array([162, 245,  62,  62])]",2,2
65,0:00:03,75,2,2,"[1, 2]","[1, 2]","[array([ 68,  51, 263, 434]), array([105, 208, 294, 476])]","[array([157,  89,  52,  52]), array([164, 247,  62,  62])]",2,2
66,0:00:03.040000,76,2,2,"[1, 2]","[1, 2]","[array([ 66,  53, 262, 409]), array([101, 207, 291, 476])]","[array([153,  85,  62,  62]), array([160, 246,  62,  62])]",2,2
